,year,value_yen_export,value_yen_import,balance
0,1988,3432251160,2451070622,981180538
1,1989,3785488924,2884015102,901473822
2,1990,4323782763,3469984202,853798561
3,1991,4257415876,3100980104,1156435772
4,1992,4333084537,2964602338,1368482199
5,1993,3972566863,2640916591,1331650272
6,1994,4042057849,2874304084,1167753765
7,1995,4135636910,3108166639,1027470271
8,1996,4469589138,3777118800,692470338
9,1997,5148151901,4113415291,1034736610
10,1998,4995766091,3698193189,1297572902
11,1999,4616480963,3659362411,957118552
12,2000,4980053540,4064920992,915132548
13,2001,4941539373,4243847530,697691843
14,2002,5263826060,4204638357,1059187703
15,2003,5364868051,4743989367,620878684
16,2004,5926118178,4918977522,1007140656
17,2005,6410372486,5684196322,726176164
18,2006,7266074371,6700996751,565077620
19,2007,8577085092,7504213563,1072871529
20,2008,8210882850,7728396945,482485905
21,2009,5472258092,5043171771,429086321
22,2010,6728232740,5964155619,764077121
23,2011,6512948450,6954080865,-441132415
24,2012,6386831200,7002429306,-615598106
25,2013,6974727095,7721256520,-746529425
26,2014,7188223794,8588251055,-1400027261
27,2015,7418273311,7906984563,-488711252
28,2016,6772268365,6764248701,8019664
29,2017,7938966328,7430172804,508793524
30,2018,8116132265,8555679441,-439547176
31,2019,7795339064,7882182818,-86843754
32,2020,6709696411,6741462908,-31766497
